Rank,Team,Player,"Fantasy Position",Games,Bye,SOS,InjuryRisk,"Consensus Proj","DS Proj",AuctionMarketValue,"DS AuctionValue","3D Value"
1,PHI,"Saquon Barkley",RB,17,9,-2.8%,0%,285,301,$59,$55,100
2,ATL,"Bijan Robinson",RB,17,5,5.6%,0%,283,294,$53,$53,95.9
3,CIN,"Ja'Marr Chase",WR,17,10,0.4%,0%,271,279,$47,$51,93.6
4,SF,"Christian McCaffrey",RB,17,14,4.4%,0%,258,290,$43,$48,88
5,DET,"Jahmyr Gibbs",RB,17,8,-6.6%,0%,271,275,$51,$48,87.8
6,DAL,"CeeDee Lamb",WR,17,10,-3.2%,0%,243,271,$40,$47,85.9
7,BAL,"Derrick Henry",RB,17,7,-4.3%,0%,263,276,$55,$46,84.5
8,MIN,"Justin Jefferson",WR,17,6,-0.6%,0%,248,259,$41,$46,83.1
9,LVR,"Ashton Jeanty",RB,17,8,-1.8%,0%,248,262,$44,$43,79
10,LAR,"Puka Nacua",WR,17,8,0.4%,0%,224,249,$36,$42,76.8
11,HOU,"Nico Collins",WR,17,6,0.3%,0%,234,255,$36,$42,76.6
12,NYG,"Malik Nabers",WR,17,14,-2.7%,0%,233,249,$36,$42,75.6
13,IND,"Jonathan Taylor",RB,17,11,0.8%,0%,246,250,$41,$41,74.6
14,JAC,"Brian Thomas Jr.",WR,17,8,-1.2%,0%,221,248,$35,$40,72.5
15,MIA,"De'Von Achane",RB,17,12,2.8%,0%,243,259,$33,$38,68.6
16,PHI,"A.J. Brown",WR,17,9,1.1%,0%,218,236,$32,$36,66.3
17,ATL,"Drake London",WR,17,5,1.4%,0%,220,234,$32,$36,64.6
18,CIN,"Chase Brown",RB,17,10,-0.7%,0%,225,243,$32,$35,64.5
19,DET,"Amon-Ra St. Brown",WR,17,8,1%,0%,220,224,$32,$35,63.3
20,GB,"Josh Jacobs",RB,17,5,-0.4%,0%,244,242,$40,$35,63
21,LAR,"Kyren Williams",RB,17,8,2.6%,0%,233,242,$35,$34,61.3
22,TB,"Bucky Irving",RB,17,9,2.1%,0%,238,241,$32,$32,58.6
23,BAL,"Lamar Jackson",QB,17,7,-3.5%,0%,365,381,$30,$31,56.1
