"Note","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Saquon Barkley","1.0","1.0","RB","PHI","9","1.05","246.8","285.0","301.0","346.2","300.6","90.0","$71","$60"
"","2","Ja'Marr Chase","1.0","1.0","WR","CIN","10","1.01","238.2","271.0","287.0","330.1","287.0","89.1","$60","$60"
"","3","Bijan Robinson","1.0","1.0","RB","ATL","5","1.02","247.0","283.0","294.0","335.2","294.6","86.5","$63","$58"
"","4","Christian McCaffrey","1.0","1.0","RB","SF","14","2.04","203.0","258.0","290.0","339.3","283.1","80.0","$51","$54"
"","5","Jahmyr Gibbs","1.0","1.0","RB","DET","8","1.04","231.0","271.0","275.0","341.0","282.9","79.8","$60","$53"
"","6","CeeDee Lamb","1.0","1.0","WR","DAL","10","1.06","224.9","243.0","271.0","311.7","269.0","78.8","$49","$53"
"","7","Derrick Henry","2.0","2.0","RB","BAL","7","2.08","231.8","263.0","276.0","322.9","278.0","77.1","$65","$52"
"","8","Justin Jefferson","2.0","2.0","WR","MIN","6","1.03","222.7","248.0","259.0","316.0","264.9","76.5","$50","$51"
"","9","Ashton Jeanty","2.0","2.0","RB","LVR","8","1.09","225.3","248.0","262.0","330.1","269.9","72.4","$54","$49"
"","10","Puka Nacua","2.0","2.0","WR","LAR","8","1.10","216.6","224.0","249.0","316.2","255.7","71.2","$46","$48"
"Value","11","Jonathan Taylor","2.0","2.0","RB","IND","11","3.03","226.1","246.0","254.0","335.3","267.2","70.9","$52","$48"
"","12","Nico Collins","2.0","2.0","WR","HOU","6","1.12","208.3","234.0","254.0","299.7","254.4","70.5","$44","$47"
"","13","Malik Nabers","2.0","2.0","WR","NYG","14","1.07","206.7","233.0","249.0","308.8","253.8","70.2","$44","$47"
"","14","Brian Thomas Jr.","2.0","2.0","WR","JAC","8","1.11","205.8","221.0","248.0","300.1","249.4","67.6","$43","$45"
"Injured","15","De'Von Achane","3.0","3.0","RB","MIA","12","2.02","204.6","243.0","259.0","287.5","254.8","63.7","$40","$43"
"","16","A.J. Brown","3.0","3.0","WR","PHI","9","3.02","207.7","218.0","236.0","285.6","240.3","62.4","$40","$42"
"","17","Drake London","3.0","3.0","WR","ATL","5","2.03","205.9","220.0","234.0","278.5","237.8","61.0","$40","$41"
"","18","Amon-Ra St. Brown","3.0","3.0","WR","DET","8","1.08","208.3","220.0","224.0","289.0","236.0","59.9","$41","$40"
"","19","Josh Jacobs","3.0","3.0","RB","GB","5","3.04","208.1","244.0","242.0","283.1","246.6","59.1","$49","$40"
"","20","Chase Brown","3.0","3.0","RB","CIN","10","3.09","199.9","225.0","238.0","299.9","244.4","57.8","$39","$39"
"","21","Kyren Williams","3.0","3.0","RB","LAR","8","3.07","203.3","233.0","242.0","283.1","244.2","57.7","$43","$39"
"","22","Lamar Jackson","3.0","1.0","QB","BAL","7","2.09","385.4","424.0","433.0","472.0","433.3","56.8","$39","$38"
"Value","23","Tee Higgins","3.0","3.0","WR","CIN","10","4.01","189.4","211.0","231.0","263.3","229.0","55.9","$32","$37"
"","24","Bucky Irving","3.0","3.0","RB","TB","9","2.07","195.2","238.0","241.0","269.9","240.2","55.4","$40","$37"
"","25","Brock Bowers","3.0","1.0","TE","LVR","8","2.01","175.8","195.0","217.0","236.5","211.8","54.6","$34","$37"
"","26","Omarion Hampton","4.0","4.0","RB","LAC","12","3.06","176.3","199.0","226.0","309.6","233.5","51.6","$37","$35"
"Breakout","27","Kenneth Walker III","4.0","4.0","RB","SEA","8","4.09","191.7","198.0","231.0","279.5","231.1","50.2","$23","$34"
"","28","James Cook","4.0","4.0","RB","BUF","7","3.12","195.5","213.0","230.0","264.5","230.0","49.6","$36","$33"
"","29","Josh Allen","4.0","1.0","QB","BUF","7","2.06","378.0","416.0","420.0","470.4","424.6","49.0","$34","$33"
"","30","Jayden Daniels","4.0","1.0","QB","WAS","12","2.11","372.4","409.0","428.0","462.2","424.4","48.9","$31","$33"
"","31","Trey McBride","4.0","1.0","TE","ARI","8","3.05","170.0","188.0","200.0","222.0","198.6","48.8","$30","$33"
"","32","Ladd McConkey","4.0","4.0","WR","LAC","12","3.01","181.3","205.0","206.0","265.7","215.8","48.4","$30","$32"
"Value","33","Alvin Kamara","4.0","4.0","RB","NO","11","4.12","177.8","202.0","234.0","262.1","226.9","47.8","$25","$32"
"Value","34","James Conner","4.0","4.0","RB","ARI","8","6.04","166.6","198.0","238.0","261.8","226.3","47.5","$32","$32"
