NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"Christian McCaffrey","RB","98","SF","1",9,16,24.5,2.1,0.9,50.8,80.8
"CeeDee Lamb","WR","97","DAL","1",7,17,23.7,2.5,0.4,58.3,83.7
"Josh Allen","QB","91","BUF","1",12,17,23.6,2.8,0.3,66.2,96.7
"Tyreek Hill","WR","98","MIA","1",6,16,23.5,1.8,0.3,43.4,67
"Keenan Allen","WR","90","LAC","1",7,13,21.5,2.8,0.4,59.9,89
"Jalen Hurts","QB","88","PHI","1",5,17,21.3,3,0.4,64.9,96.2
"Kyren Williams","RB","83","LAR","1",6,12,21.2,2.7,1,56.5,82.1
"Lamar Jackson","QB","97","BAL","1",14,16,20.8,3.1,0.4,65,97.3
"Amon-Ra St. Brown","WR","94","DET","1",5,16,20.7,3.1,0.4,63.1,90.3
"Dak Prescott","QB","92","DAL","1",7,17,20.3,3.2,0.2,65.6,94.2
"Joe Flacco","QB","72","CLE","1",14,5,20.2,3.4,0.1,69.2,96.6
"Justin Jefferson","WR","98","MIN","1",6,10,20.2,2.7,0.3,55,85.3
"Kirk Cousins","QB","83","MIN","1",12,8,19.7,3.2,0.1,64,97.9
"Justin Herbert","QB","86","LAC","1",5,12,19.5,3.4,0.2,67.2,100
"Jordan Love","QB","83","GB","1",10,17,19.1,3.3,0.2,63.7,98.8
"Anthony Richardson","QB","67","IND","1",14,4,18.7,2.3,0.3,43.2,66.8
"Justin Fields","QB","75","CHI","1",9,13,18.5,3.5,0.5,63.8,96.3
"Brock Purdy","QB","86","SF","1",9,16,18.5,3.2,0.1,58.5,93.1
"Kyler Murray","QB","78","ARI","1",11,8,18.3,3.7,0.3,67.2,98.5
"C.J. Stroud","QB","80","HOU","1",14,15,18.3,3.5,0.1,64.5,98.5
"Patrick Mahomes","QB","98","KC","1",6,16,18,3.6,0.3,65.7,98
"Alvin Kamara","RB","88","NO","1",12,13,17.9,2.4,1.1,42.9,62.8
"Raheem Mostert","RB","87","MIA","1",6,15,17.8,2.1,0.9,37,56.8
"Puka Nacua","WR","84","LAR","1",6,17,17.6,3.4,0.4,58.8,87.1
"Jared Goff","QB","83","DET","1",5,17,17.5,4,0.1,69.1,99.7
"Nico Collins","WR","84","HOU","1",14,15,17.4,2.6,0.3,44.5,68
"Russell Wilson","QB","76","DEN","2",9,15,17.4,3.6,0.3,62.5,99.6
"De'Von Achane","RB","81","MIA","2",6,11,17.3,1.6,0.7,27.3,42.6
"Breece Hall","RB","84","NYJ","1",12,17,17.1,2.3,1,39.2,60.6
"A.J. Brown","WR","96","PHI","1",5,17,17,3.5,0.4,59.9,88.8
"Matthew Stafford","QB","81","LAR","1",6,15,16.9,3.9,0.1,66.7,97.8
"DJ Moore","WR","88","CHI","1",7,17,16.9,3.6,0.3,60.5,90.4
"Mike Williams","WR","86","LAC","1",12,3,16.7,3.3,0.4,55.7,77.7
"Trevor Lawrence","QB","78","JAX","1",12,16,16.7,3.9,0.3,65.4,94.9
"Travis Etienne Jr.","RB","90","JAX","1",12,17,16.6,3,1.2,50.4,73.4
"Mike Evans","WR","92","TB","1",11,17,16.6,3.1,0.3,50.8,78.2
"Tank Dell","WR","80","HOU","1",14,10,16.5,2.9,0.4,48.5,71.5
"Ja'Marr Chase","WR","92","CIN","1",12,16,16.4,3.4,0.4,55.6,86.9
"Tua Tagovailoa","QB","89","MIA","1",6,17,16.3,3.8,0.1,61.5,95.2
"Baker Mayfield","QB","78","TB","1",11,17,16.3,4,0.2,64.7,99.7
"Deebo Samuel","WR","89","SF","1",9,15,16.2,2.9,0.4,47.2,74.2
"Jahmyr Gibbs","RB","84","DET","2",5,15,16.1,2.5,1,39.7,56.9
"Stefon Diggs","WR","96","BUF","1",14,17,16.1,3.5,0.4,55.8,81.5
"Jake Browning","QB","67","CIN","1",12,9,16,3.2,0.2,52.1,83
"Saquon Barkley","RB","93","NYG","1",5,14,15.9,3.2,1.3,51.2,79.1
"Rachaad White","RB","79","TB","1",11,17,15.8,3.2,1.3,50.6,78.1
"Joe Mixon","RB","90","CIN","1",14,17,15.7,2.8,1.2,44.2,69.1
"Sam Howell","QB","72","WAS","1",10,17,15.7,4,0.2,62.4,95.8
"Jonathan Taylor","RB","85","IND","1",14,10,15.6,2.5,1.2,38.6,57.7
"Brandon Aiyuk","WR","91","SF","1",9,16,15.6,3.2,0.3,50.2,81.7
"Michael Pittman Jr.","WR","87","IND","1",14,16,15.6,4,0.4,61.9,92
"Davante Adams","WR","93","LV","1",10,17,15.6,3.6,0.4,56.6,92.1
"James Conner","RB","82","ARI","1",11,13,15.5,2.6,1.2,41,61.8
"Joshua Dobbs","QB","70","MIN","3",9,13,15.4,4.3,0.4,65.7,96.6
"Isiah Pacheco","RB","87","KC","1",6,14,15.3,2.7,1.2,40.6,60.4
"Geno Smith","QB","79","SEA","1",10,15,15.2,4,0.2,60.4,97.3
"Deshaun Watson","QB","79","CLE","1",10,6,15.1,4.2,0.3,63.8,83.6
"Joe Burrow","QB","94","CIN","1",12,10,15.1,4,0.2,60.2,94.1
