Rank,Team,Player,Fantsy Position,Games,3D Proj,Passing Total,Passing Att.,Passing Comp,Passing YDs,Passing TDs,Passing Int,Rushing Total,Rushing YDs,Rushing TDs,Receiving Total,Receiving Rec,Receiving YDs,Receiving TDs,Returning Total,Returning PR YDs,Returning KR YDs,Returning TDs,Kicking Total,Kicking XPs,Kicking FGs < 30,Kicking 30-39,Kicking 40-49,Kicking 50-59,Kicking 60+,Defensive Total,Defensive Opp Pts,Defensive Opp Yds,Defensive Sacks,Defensive INTs,Defensive Fum Rec,Defensive TDs,Idp Total,Idp Solo,Idp Assists,Idp Sacks,Idp Pass Defended,Idp Ints,Idp Forced Fumble,Idp Fum Rec,3D Value
1,ATL,Bijan Robinson,RB,13.0,17,0,0,0,0,0,0,11.5,78.7,0.6,5.2,3.5,27.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2,IND,Jonathan Taylor,RB,12.0,18,0,0,0,0,0,0,13.3,86.9,0.8,3.4,2.4,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3
3,LAR,Puka Nacua,WR,12.0,16,0,0,0,0,0,0,0.7,4.7,0,15,6.9,89.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3
4,SF,Christian McCaffrey,RB,12.0,17,0,0,0,0,0,0,10.2,67.4,0.6,6.7,4.1,33.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5
5,DET,Jahmyr Gibbs,RB,12.0,17,0,0,0,0,0,0,11,69.8,0.7,5.2,3.2,26.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.2
6,MIN,Justin Jefferson,WR,12.0,15,0,0,0,0,0,0,0,0,0,14.5,6,87.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3
7,BUF,James Cook,RB,12.0,16,0,0,0,0,0,0,12,78.4,0.7,3.8,2.3,19.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
8,GB,Josh Jacobs,RB,13.0,15,0,0,0,0,0,0,11.1,71.7,0.7,3.3,2.3,18.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6
9,DAL,CeeDee Lamb,WR,11.0,14,0,0,0,0,0,0,0.6,4,0,13.4,6.1,76.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7
10,MIA,De'Von Achane,RB,12.0,16,0,0,0,0,0,0,7.8,56.5,0.4,7.9,5.2,37.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3
11,HOU,Nico Collins,WR,12.0,14,0,0,0,0,0,0,0,0,0,14.1,5.9,80.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.4
12,SEA,Jaxon Smith-Njigba,WR,12.0,14,0,0,0,0,0,0,0.2,1.5,0,13.1,6,74.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7
13,DET,Amon-Ra St. Brown,WR,12.0,14,0,0,0,0,0,0,0,0.1,0,13.3,6.1,70.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5
14,PHI,Saquon Barkley,RB,12.0,15,0,0,0,0,0,0,11.9,83,0.6,3.7,2.2,17.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6
15,CIN,Ja'Marr Chase,WR,12.0,14,0,0,0,0,0,0,0,0.1,0,13.3,5.9,72.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5
16,CHI,Rome Odunze,WR,13.0,13,0,0,0,0,0,0,0,0,0,12.3,5,68.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9
17,ATL,Drake London,WR,13.0,12,0,0,0,0,0,0,0,0,0,12.2,5.5,67.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6
