Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,PHI,"Saquon Barkley",RB,17,1.03,9,-2.8%,52%,245.1,285,299,343.7,100
2,ATL,"Bijan Robinson",RB,17,1.02,5,5.6%,39%,246.4,283,293,334.4,96.4
3,CIN,"Ja'Marr Chase",WR,17,1.01,10,0.4%,49%,231.2,270,279,320.4,94.6
4,SF,"Christian McCaffrey",RB,17,1.07,14,4.4%,94%,203,258,290,339.4,89
5,DET,"Jahmyr Gibbs",RB,17,1.04,8,-6.6%,68%,231,271,275,341,88.9
6,DAL,"CeeDee Lamb",WR,17,1.06,10,-3.2%,56%,224.1,243,270,310.6,86.4
7,BAL,"Derrick Henry",RB,17,1.09,7,-4.3%,41%,232.2,263,276,323.4,85.5
8,MIN,"Justin Jefferson",WR,17,1.05,6,-0.6%,57%,222.4,248,259,315.6,84.1
9,LVR,"Ashton Jeanty",RB,17,1.10,8,-1.8%,81%,224.2,248,261,328.5,79.3
10,LAR,"Puka Nacua",WR,17,2.01,8,0.4%,74%,216.4,224,249,315.8,77.7
11,HOU,"Nico Collins",WR,17,1.12,6,0.3%,82%,208.7,234,255,300.4,77.5
12,NYG,"Malik Nabers",WR,17,1.11,14,-2.7%,75%,207.2,233,250,309.6,77.1
13,IND,"Jonathan Taylor",RB,17,2.06,11,0.8%,86%,220.9,246,248,327.7,74.2
14,JAC,"Brian Thomas Jr.",WR,17,2.03,8,-1.2%,42%,202.6,221,244,295.3,71
15,MIA,"De'Von Achane",RB,17,2.04,12,2.8%,93%,204.7,243,259,287.6,69.4
16,PHI,"A.J. Brown",WR,17,2.12,9,1.1%,75%,207.8,218,236,285.7,67.1
17,ATL,"Drake London",WR,17,2.05,5,1.4%,85%,205.8,220,234,278.3,65.4
18,CIN,"Chase Brown",RB,17,2.10,10,-0.7%,72%,204.5,226,243,306.8,65.4
19,GB,"Josh Jacobs",RB,17,2.02,5,-0.4%,85%,208.6,244,243,283.8,64.3
20,DET,"Amon-Ra St. Brown",WR,17,1.08,8,1%,31%,207.9,220,224,288.4,64.1
21,LAR,"Kyren Williams",RB,17,3.01,8,2.6%,70%,203.7,233,243,283.7,62.7
22,TB,"Bucky Irving",RB,17,2.07,9,2.1%,79%,194.9,238,241,269.5,59.3
23,BAL,"Lamar Jackson",QB,17,2.11,7,-3.5%,31%,339,365,381,415.2,57.4
24,CIN,"Tee Higgins",WR,17,3.08,10,0.4%,90%,184.6,210,225,256.7,55.6
25,BUF,"Josh Allen",QB,17,2.09,7,-0.1%,26%,336.6,366,374,418.9,54.5
26,WAS,"Jayden Daniels",QB,17,3.05,12,-2.3%,43%,331.1,361,381,411,54.5
27,LVR,"Brock Bowers",TE,17,2.08,8,-6.5%,53%,173.7,195,214,233.8,54.4
28,PHI,"Jalen Hurts",QB,17,3.11,9,-0.5%,59%,332.2,357,378,411.5,53.1
29,LAC,"Omarion Hampton",RB,17,3.06,12,-3.4%,91%,173.6,199,223,304.8,52.7
30,BUF,"James Cook",RB,17,3.04,7,-1.9%,73%,195.7,213,230,264.8,52.3
31,SEA,"Kenneth Walker III",RB,17,4.06,8,3.4%,63%,191.5,191,231,279.2,52.3
32,LAC,"Ladd McConkey",WR,17,3.02,12,-0.8%,82%,183,205,208,268.3,51.4
33,ARI,"James Conner",RB,17,4.11,8,4.7%,94%,166.7,198,238,262,49.8
