Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,BAL,"Lamar Jackson",QB,17,1.03,7,-3.5%,31%,339,365,381,415.2,100
2,BUF,"Josh Allen",QB,17,1.01,7,-0.1%,26%,336.6,366,374,418.9,97.5
3,WAS,"Jayden Daniels",QB,17,1.05,12,-2.3%,43%,331.2,361,381,411.1,97.5
4,PHI,"Jalen Hurts",QB,17,1.10,9,-0.5%,59%,332.2,357,378,411.5,96.3
5,CIN,"Joe Burrow",QB,17,1.08,10,-4.8%,32%,306.2,338,356,370.3,73.4
6,CIN,"Ja'Marr Chase",WR,17,1.02,10,0.4%,49%,279.2,328,336,386.9,69.1
7,ATL,"Bijan Robinson",RB,17,1.04,5,5.6%,39%,270.6,311,322,367.3,65.4
8,DAL,"CeeDee Lamb",WR,17,1.11,10,-3.2%,56%,272.7,299,329,377.8,64.8
9,PHI,"Saquon Barkley",RB,17,1.09,9,-2.8%,52%,261.1,305,318,366.1,63.5
10,SF,"Christian McCaffrey",RB,17,2.02,14,4.4%,94%,227.1,289,324,379.6,62.7
11,MIN,"Justin Jefferson",WR,17,1.06,6,-0.6%,57%,268.6,300,312,381,61.6
12,DET,"Jahmyr Gibbs",RB,17,1.07,8,-6.6%,68%,252.9,298,301,373.3,60
13,LAR,"Puka Nacua",WR,17,2.07,8,0.4%,74%,263.4,276,303,384.6,58.5
14,NYG,"Malik Nabers",WR,17,2.03,14,-2.7%,75%,253.6,287,305,378.8,58.3
15,HOU,"Nico Collins",WR,17,2.08,6,0.3%,82%,250.6,280,306,360.6,56.2
16,KC,"Patrick Mahomes",QB,17,2.06,10,1.1%,19%,285.6,318,328,361,54.9
17,LVR,"Ashton Jeanty",RB,17,1.12,8,-1.8%,81%,244.6,273,284,358.4,53.2
18,MIA,"De'Von Achane",RB,17,2.10,12,2.8%,93%,235.6,278,298,331.1,53.1
19,JAC,"Brian Thomas Jr.",WR,17,2.09,8,-1.2%,42%,242.9,266,293,354.1,51.8
20,BAL,"Derrick Henry",RB,17,2.05,7,-4.3%,41%,240,271,286,334.3,51
21,DET,"Amon-Ra St. Brown",WR,17,2.01,8,1%,31%,256,274,275,355.1,49.7
22,ATL,"Drake London",WR,17,2.11,5,1.4%,85%,249.9,268,284,338,49.1
23,PHI,"A.J. Brown",WR,17,3.04,9,1.1%,75%,248.3,261,282,341.4,48.4
24,IND,"Jonathan Taylor",RB,17,3.03,11,0.8%,86%,235.1,260,264,348.7,47.2
25,DEN,"Bo Nix",QB,17,3.05,12,1.6%,25%,275.4,307,320,349,46.3
26,CIN,"Chase Brown",RB,17,3.09,10,-0.7%,72%,226.1,254,269,339.2,46.2
27,TB,"Baker Mayfield",QB,17,3.08,9,1.3%,25%,275.8,316,313,354.2,46.2
28,NYJ,"Justin Fields",QB,17,7.03,9,3.2%,55%,262.4,300,316,363.6,45.5
29,ARI,"Kyler Murray",QB,17,4.08,8,6.7%,25%,277.7,307,312,355.7,45.3
30,LVR,"Brock Bowers",TE,17,2.04,8,-6.5%,53%,215.7,246,266,290.2,44.6
31,GB,"Josh Jacobs",RB,17,3.01,5,-0.4%,85%,225.4,263,262,306.7,42.4
32,ARI,"Trey McBride",TE,17,2.12,8,4.9%,66%,215.4,240,253,281.3,42
33,CHI,"Caleb Williams",QB,17,5.06,5,-4.1%,24%,267.2,290,314,352.1,41.9
34,CIN,"Tee Higgins",WR,17,4.04,10,0.4%,90%,223.6,254,273,310.9,41.9
35,TB,"Bucky Irving",RB,17,3.02,9,2.1%,79%,215.3,261,266,297.7,41.6
36,NO,"Alvin Kamara",RB,17,4.09,11,6.9%,94%,205,234,270,302.1,40.4
37,SF,"Brock Purdy",QB,17,5.02,14,4.3%,28%,275.5,306,306,345.9,40.3
38,LAR,"Kyren Williams",RB,17,3.07,8,2.6%,70%,216.6,249,258,301.6,39.8
