Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
1,BAL,"Lamar Jackson",QB,17,1.02,7,-3.5%,31%,339,365,381,415.2,100
2,BUF,"Josh Allen",QB,17,1.01,7,-0.1%,26%,336.6,366,374,418.9,97.5
3,WAS,"Jayden Daniels",QB,17,1.05,12,-2.3%,43%,331.1,361,381,411,97.4
4,PHI,"Jalen Hurts",QB,17,1.10,9,-0.5%,59%,332.2,357,378,411.5,96.2
5,CIN,"Joe Burrow",QB,17,1.07,10,-4.8%,32%,306.2,338,356,370.3,73.1
6,CIN,"Ja'Marr Chase",WR,17,1.03,10,0.4%,49%,279.2,328,336,386.9,68.8
7,ATL,"Bijan Robinson",RB,17,1.04,5,5.6%,39%,270.6,311,322,367.3,65.1
8,DAL,"CeeDee Lamb",WR,17,1.11,10,-3.2%,56%,272.7,299,329,377.8,64.5
9,PHI,"Saquon Barkley",RB,17,1.09,9,-2.8%,52%,261.1,305,318,366.1,63.2
10,SF,"Christian McCaffrey",RB,17,2.04,14,4.4%,94%,227.1,289,324,379.6,62.4
11,MIN,"Justin Jefferson",WR,17,1.06,6,-0.6%,57%,268.5,300,312,380.9,61.2
12,DET,"Jahmyr Gibbs",RB,17,1.08,8,-6.6%,68%,253.1,298,301,373.6,59.7
13,NYG,"Malik Nabers",WR,17,2.03,14,-2.7%,75%,253.7,287,306,379,58.2
14,LAR,"Puka Nacua",WR,17,2.05,8,0.4%,74%,263.4,276,303,384.6,58.1
15,LVR,"Brock Bowers",TE,17,2.02,8,-6.5%,53%,257.6,298,318,346.7,56.1
16,HOU,"Nico Collins",WR,17,2.08,6,0.3%,82%,250.6,280,306,360.6,55.8
17,KC,"Patrick Mahomes",QB,17,2.07,10,1.1%,19%,285.6,319,328,361,54.4
18,ARI,"Trey McBride",TE,17,2.11,8,4.9%,66%,260.9,292,307,340.8,54.1
19,LVR,"Ashton Jeanty",RB,17,1.12,8,-1.8%,81%,244.6,273,284,358.4,52.8
20,MIA,"De'Von Achane",RB,17,2.10,12,2.8%,93%,235.6,278,298,331.1,52.7
21,JAC,"Brian Thomas Jr.",WR,17,2.09,8,-1.2%,42%,242.9,267,293,354.1,51.3
22,BAL,"Derrick Henry",RB,17,2.06,7,-4.3%,41%,240,271,286,334.3,50.6
23,DET,"Amon-Ra St. Brown",WR,17,2.01,8,1%,31%,256,274,275,355.1,49.2
24,ATL,"Drake London",WR,17,2.12,5,1.4%,85%,249.9,268,284,338,48.6
25,PHI,"A.J. Brown",WR,17,3.04,9,1.1%,75%,248.3,261,282,341.4,48
26,IND,"Jonathan Taylor",RB,17,3.03,11,0.8%,86%,235.2,260,264,348.8,46.7
27,CIN,"Chase Brown",RB,17,3.09,10,-0.7%,72%,226.1,254,269,339.2,45.8
28,DEN,"Bo Nix",QB,17,3.06,12,1.6%,25%,275.3,307,320,349,45.7
29,TB,"Baker Mayfield",QB,17,3.07,9,1.3%,25%,275.8,316,313,354.2,45.7
30,NYJ,"Justin Fields",QB,17,6.12,9,3.2%,55%,262.6,300,316,363.9,44.9
31,ARI,"Kyler Murray",QB,17,4.08,8,6.7%,25%,277.7,307,312,355.7,44.8
32,SF,"George Kittle",TE,17,3.11,14,3.6%,89%,225.6,263,265,323.9,44.3
33,CHI,"Caleb Williams",QB,17,5.04,5,-4.1%,24%,267.4,291,315,352.4,42.1
34,GB,"Josh Jacobs",RB,17,3.02,5,-0.4%,85%,225.4,263,262,306.7,41.9
35,CIN,"Tee Higgins",WR,17,4.04,10,0.4%,90%,223.6,254,273,310.9,41.4
36,TB,"Bucky Irving",RB,17,3.01,9,2.1%,79%,215.3,261,266,297.7,41
37,NO,"Alvin Kamara",RB,17,4.09,11,6.9%,94%,205,234,270,302.1,39.9
38,SF,"Brock Purdy",QB,17,5.03,14,4.3%,28%,275.5,306,306,345.9,39.7
39,LAR,"Kyren Williams",RB,17,3.08,8,2.6%,70%,216.6,249,258,301.6,39.2
40,LAC,"Ladd McConkey",WR,17,3.05,12,-0.8%,82%,223.4,249,254,327.5,39
41,LAC,"Justin Herbert",QB,17,4.06,12,-0.7%,32%,270.3,285,311,348,38.8
42,SEA,"Kenneth Walker III",RB,17,5.01,8,3.4%,63%,211.1,212,254,307.8,36.2
43,MIA,"Tyreek Hill",WR,17,4.07,12,2.9%,31%,197.8,244,250,325.6,36
44,DAL,"Dak Prescott",QB,17,5.12,10,-5%,31%,270.5,289,304,343.5,35.6
45,NE,"Drake Maye",QB,17,5.09,14,1.5%,47%,266.9,289,300,350.8,35.5
46,DET,"Sam LaPorta",TE,17,4.12,8,2.9%,84%,207.8,217,228,301.4,34.9
47,TB,"Mike Evans",WR,17,4.11,9,0.7%,68%,212.7,245,256,289.6,34.7
48,LAC,"Omarion Hampton",RB,17,4.02,12,-3.4%,91%,188.3,217,241,330.6,34.7
49,BUF,"James Cook",RB,17,4.05,7,-1.9%,73%,211.6,229,249,286.3,34.4
50,ARI,"James Conner",RB,17,6.02,8,4.7%,94%,182.8,219,261,287.2,34.3
51,KC,"Travis Kelce",TE,17,6.11,10,-8.1%,52%,184.6,222,240,280.5,34.3
52,CLE,"David Njoku",TE,17,9.02,9,2.3%,78%,190.1,215,229,277.2,32.5
53,GB,"Jordan Love",QB,17,6.09,5,-3.1%,31%,265.9,277,302,341.5,32.1
54,JAC,"Trevor Lawrence",QB,17,7.09,8,3%,36%,267.7,278,301,342.8,32.1
55,CAR,"Chuba Hubbard",RB,17,5.05,14,3.4%,69%,192.4,225,244,282.5,31.7
