,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Israel Abanikanda,SF,RB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Ameer Abdullah,FA,RB,0,0,0,0.0,23,95,4.1,1,13,92,7.1,1,144,0,35,0
De'Von Achane,MIA,RB,0,0,0,0.0,199,936,4.7,6,67,500,7.5,3,27,0,0,0
Davante Adams,LAR,WR,0,0,0,0.0,0,0,0.0,0,79,968,12.3,7,0,0,0,0
Jordan Addison,MIN,WR,0,0,0,0.0,4,20,5.0,0,71,932,13.1,6,0,0,0,0
Nate Adkins,DEN,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Nelson Agholor,FA,WR,0,0,0,0.0,0,0,0.0,0,6,82,13.7,1,0,0,0,0
Jamal Agnew,ATL,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Brandon Aiyuk,SF,WR,0,0,0,0.0,0,0,0.0,0,57,824,14.5,5,0,0,0,0
Cam Akers,NO,RB,0,0,0,0.0,38,156,4.1,1,5,40,8.0,0,0,0,0,0
Jordan Akins,FA,TE,0,0,0,0.0,0,0,0.0,0,14,138,9.9,1,0,0,0,0
Rasheen Ali,BAL,RB,0,0,0,0.0,30,140,4.7,1,3,23,7.7,0,80,0,0,0
Mo Alie-Cox,IND,TE,0,0,0,0.0,0,0,0.0,0,4,41,10.3,0,0,0,0,0
Josh Allen,BUF,QB,3777,27,11,7.6,98,504,5.1,10,0,0,0.0,0,0,0,0,0
Kyle Allen,DET,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Keenan Allen,FA,WR,0,0,0,0.0,0,0,0.0,0,47,488,10.4,4,0,0,0,0
Davis Allen,LAR,TE,0,0,0,0.0,0,0,0.0,0,4,41,10.3,0,0,0,0,0
Braelon Allen,NYJ,RB,0,0,0,0.0,63,269,4.3,2,12,90,7.5,1,0,0,0,0
Kaytron Allen,FA,RB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyler Allgeier,ATL,RB,0,0,0,0.0,120,538,4.5,4,13,94,7.2,1,0,0,0,0
Mark Andrews,BAL,TE,0,0,0,0.0,3,4,1.3,0,55,681,12.4,7,0,0,0,0
Elijah Arroyo,SEA,TE,0,0,0,0.0,0,0,0.0,0,31,283,9.1,2,0,0,0,0
Tutu Atwell,LAR,WR,0,0,0,0.0,3,18,6.0,0,33,422,12.8,3,0,0,0,0
Brandon Aubrey,DAL,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Calvin Austin,PIT,WR,0,0,0,0.0,3,14,4.7,0,34,441,13.0,3,0,0,0,0
Eric Ayomanor,TEN,WR,0,0,0,0.0,2,10,5.0,0,26,310,11.9,2,0,0,0,0
Michael Badgley,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyler Badie,DEN,RB,0,0,0,0.0,10,41,4.1,0,3,22,7.3,0,0,0,0,0
Tyson Bagent,CHI,QB,188,1,1,6.3,4,22,5.5,0,0,0,0.0,0,0,0,0,0
Javon Baker,NE,WR,0,0,0,0.0,0,0,0.0,0,8,110,13.8,1,78,0,0,0
Saquon Barkley,PHI,RB,0,0,0,0.0,300,1680,5.6,11,31,232,7.5,2,0,0,0,0
AJ Barner,SEA,TE,0,0,0,0.0,0,0,0.0,0,14,134,9.6,1,0,0,0,0
Tyler Bass,BUF,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Rashod Bateman,BAL,WR,0,0,0,0.0,0,0,0.0,0,44,679,15.4,5,0,0,0,0
John Bates,WAS,TE,0,0,0,0.0,0,0,0.0,0,8,74,9.3,1,0,0,0,0
Jake Bates,DET,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
C.J. Beathard,FA,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jack Bech,LV,WR,0,0,0,0.0,0,0,0.0,0,53,621,11.7,4,0,0,0,0
Odell Beckham,FA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jaheim Bell,NE,TE,0,0,0,0.0,0,0,0.0,0,12,121,10.1,1,0,0,0,0
David Bell,CLE,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Ronnie Bell,DET,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Daniel Bellinger,NYG,TE,0,0,0,0.0,0,0,0.0,0,15,141,9.4,1,0,0,0,0
Stetson Bennett,LAR,QB,192,1,1,6.4,4,18,4.5,0,0,0,0.0,0,0,0,0,0
Trey Benson,ARI,RB,0,0,0,0.0,99,436,4.4,3,18,129,7.2,1,0,0,0,0
Braxton Berrios,HOU,WR,0,0,0,0.0,1,0,0.0,0,3,31,10.3,0,109,0,50,0
Tank Bigsby,JAX,RB,0,0,0,0.0,95,388,4.1,3,10,73,7.3,0,92,0,0,0
Raheem Blackshear,CAR,RB,0,0,0,0.0,5,21,4.2,0,2,15,7.5,0,535,1,131,0
Jaydon Blue,DAL,RB,0,0,0,0.0,104,444,4.3,3,24,177,7.4,1,0,0,0,0
Jake Bobo,SEA,WR,0,0,0,0.0,0,0,0.0,0,11,121,11.0,1,0,0,0,0
Isaiah Bond,FA,WR,0,0,0,0.0,1,3,3.0,0,12,161,13.4,1,21,0,0,0
Andres Borregales,NE,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Chris Boswell,PIT,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Kendrick Bourne,NE,WR,0,0,0,0.0,0,0,0.0,0,21,252,12.0,2,0,0,0,0
Kayshon Boutte,NE,WR,0,0,0,0.0,0,0,0.0,0,32,427,13.3,3,0,0,0,0
